#####################################################################
# Alchemist log file - simulation started at: 2026-01-23T15:37+0000 #
#####################################################################
#
# seed = 42.0
#
# The columns have the following meaning: 
# time PositionX[mean] PositionY[mean] 
0.0 NaN NaN
0.06848743176556704 NaN NaN
1.068487431765567 0.00 0.0
2.068487431765567 0.00100 0.0019999999775
3.068487431765567 0.00297 0.005939999410543381
4.068487431765567 0.00588 0.011761795423706877
5.068487431765567 0.00970 0.019408925436444752
6.068487431765567 0.0144 0.02882661024854933
7.068487431765567 0.0200 0.03996169780588868
8.068487431765567 0.0264 0.0527626078489383
9.068487431765567 0.0336 0.06717927761090564
10.068487431765567 0.0416 0.08316310870093013
11.068487431765567 0.0503 0.10066691528045302
12.068487431765567 0.0598 0.11964487361696408
13.068487431765567 0.0700 0.14005247307856197
14.068487431765567 0.0809 0.16184646861476526
15.068487431765567 0.0925 0.18498483475347216
16.06848743176557 0.105 0.20942672113060867
17.06848743176557 0.118 0.23513240955757905
18.06848743176557 0.131 0.26206327262191276
19.06848743176557 0.145 0.2901817338082891
20.06848743176557 0.160 0.3194512291202367
21.06848743176557 0.175 0.34983617017708685
22.06848743176557 0.191 0.3813019087560638
23.06848743176557 0.207 0.413814702745603
24.06848743176557 0.224 0.4473416834729694
25.06848743176557 0.241 0.48185082436691984
26.06848743176557 0.259 0.5173109109144141
27.06848743176557 0.277 0.5536915118691512
28.06848743176557 0.296 0.5909629516689263
29.06848743176557 0.315 0.6290962840183951
30.06848743176557 0.334 0.6680632665937559
31.06848743176557 0.354 0.7078363368260501
32.06848743176557 0.375 0.7483885887202107
33.06848743176557 0.396 0.7896937506676103
34.06848743176557 0.417 0.8317261642106353
35.06848743176557 0.438 0.8744607637187344
36.06848743176557 0.460 0.9178730569364015
37.06848743176557 0.482 0.9619391063646577
38.06848743176557 0.505 1.0066355114387642
39.06848743176557 0.528 1.051939391466109
40.06848743176557 0.551 1.097828369289462
41.06848743176557 0.574 1.1442805556420506
42.06848743176557 0.598 1.1912745341621918
43.06848743176557 0.622 1.2387893470364892
44.06848743176557 0.646 1.2868044812418689
45.06848743176557 0.671 1.3352998553579847
46.06848743176557 0.696 1.3842558069227584
47.06848743176557 0.721 1.4336530803050238
48.06848743176557 0.746 1.4834728150694318
49.06848743176557 0.772 1.5336965348099199
50.06848743176557 0.798 1.5843061364291648
51.06848743176557 0.824 1.6352838798425253
52.06848743176557 0.850 1.6866123780860196
53.06848743176557 0.877 1.7382745878088932
54.06848743176557 0.903 1.790253800132306
55.06848743176557 0.930 1.8425336318565924
56.06848743176557 0.957 1.8950980170004472
57.06848743176557 0.985 1.9479311986562469
58.06848743176557 1.01 2.0010177211465274
59.06848743176557 1.04 2.0543424224674327
60.06848743176557 1.07 2.1078904270056835
61.06848743176557 1.10 2.161647138516333
62.06848743176557 1.12 2.215598233349253
63.06848743176557 1.15 2.269729653912938
64.06848743176556 1.18 2.324027602364814
65.06848743176556 1.21 2.378478534517849
66.06848743176556 1.24 2.433069153953773
67.06848743176556 1.27 2.4877864063337776
68.06848743176556 1.30 2.542617473898023
69.06848743176556 1.32 2.59754977014578
70.06848743176556 1.35 2.652570934688454
71.06848743176556 1.38 2.7076688282681687
72.06848743176556 1.41 2.7628315279349724
73.06848743176556 1.44 2.8180473223761213
74.06848743176556 1.47 2.8733047073912235
75.06848743176556 1.50 2.928592381507371
76.06848743176556 1.53 2.9838992417287065
77.06848743176556 1.56 3.0392143794151516
78.06848743176556 1.59 3.0945270762853125
79.06848743176556 1.62 3.149826800538838
80.06848743176556 1.65 3.2051032030937474
81.06848743176556 1.68 3.260346113934486
82.06848743176556 1.71 3.3155455385666683
83.06848743176556 1.74 3.370691654574699
84.06848743176556 1.77 3.4257748082786224
85.06848743176556 1.81 3.480785511486765
