id,X,Y,NumberOfNeighbors
0,0.3082,-0.2838,13
1,29.8164,0.1249,17
2,60.1092,0.2865,18
3,90.0171,0.3628,17
4,120.1786,0.1819,13
5,0.3170,30.0570,17
6,29.5724,30.1884,22
7,60.2428,30.4037,23
8,90.4608,30.1057,22
9,120.2920,29.8438,17
10,0.0636,59.5498,18
11,30.0240,59.8302,23
12,60.3444,60.3553,25
13,89.5877,59.6051,23
14,119.5407,59.9762,18
15,-0.0330,89.6164,17
16,29.7404,89.5310,22
17,60.0835,90.0043,23
18,89.8953,89.9039,22
19,120.4217,89.5081,17
20,0.0290,119.9644,12
21,30.0792,119.7967,17
22,59.5108,119.8321,18
23,90.4885,119.5421,17
24,120.4306,120.2392,12
