estimatedX,estimatedY
6.8073,26.8865
3.8256,27.8807
-1.3788,30.4570
-3.8455,29.7609
-5.0626,29.2689
12.0711,13.6259
-4.0550,22.1401
-7.7222,22.3552
-14.3518,24.1846
-15.9383,23.4889
-15.3082,22.1484
-17.9339,20.8761
-20.4246,18.1443
-20.1311,16.8168
-20.2233,15.8985
-20.4060,15.1471
-19.1918,14.3438
-20.3785,11.6160
-18.5045,10.8633
-18.2439,10.0030
-14.9628,6.8678
-14.4789,6.1757
-14.3374,6.2691
-13.6008,4.5377
-13.0842,0.8465
-12.2281,-0.3624
-11.8738,-2.1605
-11.2325,-2.6739
-10.2055,-1.4826
-9.6238,-2.2112
-9.0448,-3.0146
-8.4579,-3.3845
-8.2253,0.0188
-4.4585,-0.7421
-2.7599,-0.5445
-2.3638,-0.3094
0.1079,-0.3137
2.1168,-0.4350
0.9426,-0.1113
3.0105,-0.2585
1.5009,0.3989
-4.9168,4.6268
-4.5363,4.7093
-5.7604,5.8892
-5.8894,6.3803
-4.4917,4.9819
-4.4843,2.6540
-4.6273,4.2417
-7.2140,7.8274
-9.5532,8.7705
-9.2838,10.9068
-6.9784,5.2080
-5.4145,5.6315
-8.2226,6.7799
-9.1734,8.4886
-10.1702,7.0023
-9.1263,5.6812
-9.1806,6.4414
-8.1970,7.7886
-0.4052,5.3293
-0.9170,6.7185
5.0804,3.6171
-0.0523,6.4649
4.2306,6.6345
-1.6607,10.5912
-5.9346,12.0028
-5.3999,11.9719
-2.6326,14.0116
-2.7490,15.2354
-4.1142,13.0319
-2.4693,12.9437
-6.1472,16.1435
-5.3863,15.6435
-6.1371,14.9478
-6.1887,15.3348
-1.7378,14.8252
-2.8731,12.4423
-4.1399,11.2711
-4.2899,7.6255
-4.2763,5.2481
-6.7941,9.1062
-7.4753,9.0453
-3.0261,7.9543
-0.3081,5.3016
0.6594,7.3429
3.0299,7.2323
1.3436,8.8275
0.8037,8.8928
3.4576,10.5698
1.5666,9.5372
2.5376,5.2792
3.9596,4.0711
2.9670,5.4850
0.8591,3.7757
0.8944,3.0617
0.9698,2.0691
1.6881,2.0680
2.8093,-2.4839
2.4413,-1.8044
7.9572,-7.2089
7.3361,-6.9966
3.3460,1.3161
4.9059,5.3534
6.6642,3.9783
7.1312,2.3977
8.7081,-0.3312
8.7028,0.4927
9.2343,3.1684
5.1188,12.8878
5.9638,11.9263
6.9950,11.4191
6.6694,10.7232
7.4473,11.5451
3.8402,10.4814
4.5419,9.5322
4.8235,8.2464
4.1696,7.1677
4.0634,5.8825
2.8446,5.1321
3.1778,7.8948
1.3507,3.6945
1.2784,0.9913
0.6865,2.1484
-0.0992,2.4544
-1.7670,3.0265
-3.7880,1.1275
-3.8387,3.1305
-4.7112,1.4230
-1.0847,0.4140
-1.8330,4.7673
0.3039,1.5407
1.2535,0.5161
1.3275,0.5489
-0.1257,2.4119
-1.9895,5.1268
0.5478,3.8993
0.0777,4.6397
0.6407,5.6643
-1.0120,10.4796
-2.7727,15.0972
-0.6198,16.4241
-1.6957,15.8014
-1.2375,15.2311
-0.1566,15.3381
-0.5378,16.3677
-3.4688,17.9198
-2.6804,17.2272
-4.7058,17.8851
0.5905,11.0859
0.0106,11.0627
1.1935,8.1705
3.4977,7.3658
2.2203,8.0294
1.3331,8.2806
0.6239,5.8952
-0.8159,4.7517
-2.2116,3.7932
-3.2803,3.5464
-3.7399,5.4005
-2.8697,5.8221
-2.4508,4.2602
-0.2309,4.7704
-0.9926,5.4881
0.5520,6.8557
0.0484,9.4745
-0.2416,9.8718
-0.3139,10.9439
-0.2913,9.8954
-0.8648,9.5765
-3.1761,9.2493
-3.3884,9.4953
-3.3863,10.2647
-4.8461,11.7652
-4.9397,11.1070
-1.2452,8.5012
0.1990,9.5762
0.2413,10.8460
0.8467,10.1422
-1.0963,9.6654
-0.8161,10.7902
-1.7269,12.4834
-5.3123,14.5466
-5.8053,14.5206
-3.7176,15.0228
-2.7491,12.6041
-0.8742,12.3544
-0.5467,11.6333
-0.5336,11.1019
1.0556,11.3064
1.3952,11.0626
1.2166,10.1179
-0.1014,9.8467
0.4114,10.7463
-0.3031,10.0600
-0.6628,9.3060
-0.9162,10.9296
-1.1452,11.4572
0.1834,12.6668
-0.0682,13.0264
-2.8935,14.4902
-2.3366,15.9214
3.2990,10.5586
3.8217,10.2490
-0.3091,11.0816
-2.9452,10.6830
-1.7863,8.9408
1.4273,10.4760
4.2173,9.9140
-2.8637,11.3039
-3.9903,13.4189
-5.3798,13.5477
2.2609,9.1830
3.5338,6.4119
2.6277,9.7225
0.8507,12.4627
3.4710,11.0634
5.4459,10.9112
7.5098,10.0314
6.2141,10.2426
6.6827,9.9981
6.4174,10.1541
6.8505,9.7546
7.1832,7.7468
5.5142,7.6256
5.6214,8.4410
4.3949,6.5782
5.0070,5.9716
4.3774,4.6898
6.5275,3.5680
5.8482,5.6668
6.4516,4.7370
7.8976,4.8239
8.6985,2.0934
12.7780,2.4360
13.1783,3.3923
10.5634,3.1957
9.2673,3.5692
7.2897,1.7932
6.6488,5.0113
6.8529,5.8506
6.4345,5.1283
2.6427,7.8524
4.1773,7.5330
3.3963,7.4106
1.9812,7.4651
0.0695,8.1516
-1.0000,10.4601
0.0314,12.1724
-2.2632,12.9476
-5.3780,14.6688
-0.4989,12.4598
-0.5848,14.0684
4.2147,13.6910
0.3765,15.0226
0.3201,16.2539
5.2218,14.1753
-2.0946,19.5632
1.3195,18.3920
1.9302,18.9189
1.9088,17.4766
1.5620,20.0117
1.7647,19.1094
2.2084,17.8077
2.4919,17.3070
2.0905,18.3278
-1.7028,21.5693
-2.0075,22.1290
-2.1915,19.7321
-1.4083,14.5348
0.0236,13.6222
-0.0605,12.6304
-0.3233,12.3184
1.9745,10.5596
1.6322,10.3067
1.4754,9.8463
1.8395,9.2256
0.6640,8.6452
2.2925,8.6416
2.7387,10.2755
3.4805,9.1876
5.3041,9.0131
7.6824,6.5251
10.2675,5.3892
12.1282,5.0333
15.3251,3.4551
11.3344,6.4984
13.7330,5.9098
14.5363,5.7447
14.0656,5.1620
10.1440,7.0067
9.4452,5.0518
8.0625,8.8861
8.8648,9.4871
11.0336,7.3237
10.7763,7.2580
11.3297,7.7436
9.5089,8.9528
9.0598,8.2235
10.3261,9.0232
11.9260,6.5455
11.8108,5.5379
12.0539,2.6913
11.5224,2.9867
10.2726,8.2131
9.6592,7.7348
8.9267,8.1994
9.7667,4.7559
10.8002,1.4309
10.4322,0.9391
8.9310,2.4476
11.0255,0.2501
11.4902,0.0936
9.4294,1.3408
9.8323,1.3815
10.0606,0.3315
9.7384,0.3673
9.3762,0.0373
6.9050,1.5930
6.4261,3.8659
5.8988,4.4588
5.3386,9.0038
4.5465,11.1708
4.9712,11.8411
4.0421,11.2941
2.8813,13.6070
3.3900,13.2901
4.9143,13.3041
3.6899,13.4722
5.6364,15.5989
5.0521,15.9941
3.9665,16.7231
3.3776,16.5718
1.0639,16.7298
-0.1213,17.0888
1.9682,12.0797
7.2740,8.6721
12.9559,4.9367
10.6679,5.3385
9.1746,8.2179
10.0310,5.6626
11.1685,5.2384
8.5220,5.2149
5.0300,10.4061
4.8892,12.1183
7.1006,8.7831
11.2806,7.1470
11.7654,7.0875
14.0983,5.0322
11.3262,5.9226
11.2505,5.2382
10.8032,5.4294
10.6342,4.2498
8.8748,4.7398
8.3223,4.8741
8.6913,1.9859
8.6084,4.9914
13.3638,4.9447
13.2424,4.8218
13.1156,5.8725
11.6324,5.1025
10.6164,4.6387
13.2040,4.4459
15.5403,2.9776
17.1256,1.6048
18.0851,2.6035
12.6849,5.9530
14.0012,5.7457
10.2415,7.2342
10.5980,5.8373
11.3281,6.2104
5.4759,8.8936
7.2149,6.2869
5.3958,6.4397
9.8041,6.8135
8.8271,5.6251
11.1509,4.9567
10.5090,5.7973
10.0621,5.2712
9.5744,4.4523
10.8480,1.3634
11.1873,-0.2519
11.0431,0.7015
12.4928,-1.0338
12.0649,-1.4764
11.2798,1.1078
11.4961,1.9177
11.8454,2.2239
12.3402,1.9445
12.8617,2.9585
11.7759,1.9496
13.0035,2.4430
12.6299,1.6399
13.2865,2.0731
14.3030,1.5249
14.3220,0.5296
16.9665,-1.6861
18.2874,-2.2969
15.5634,-2.4603
15.6918,-1.7184
17.6430,-0.8235
17.4591,0.9241
20.4392,2.5207
19.2546,2.6427
16.7451,0.1905
17.0314,3.5786
12.8733,4.0051
15.6959,1.8979
15.0649,3.3135
15.7684,3.5135
17.1510,5.2379
17.5864,5.9776
19.1752,5.3866
18.0141,4.3678
16.8318,5.9420
17.2223,3.2702
15.7085,3.0596
15.0224,2.7316
14.9610,2.5635
14.4066,3.3047
15.5199,3.1772
13.1276,5.2161
10.6526,5.4080
9.5481,4.7363
5.8258,6.3068
8.4337,5.1393
10.0177,3.3968
11.1276,0.8427
10.1727,0.6650
10.5693,1.0055
9.9179,3.3503
9.2789,2.9851
10.4856,3.2505
10.1852,1.1280
8.7175,3.6547
10.4324,4.8846
16.8453,2.2035
10.1461,5.2804
11.8378,6.8979
13.6199,5.1879
14.1103,5.2482
17.7835,4.6974
16.2597,-0.0112
15.1173,1.2060
17.2786,0.6068
18.7477,-3.1083
19.3948,-4.1478
21.1403,-8.4615
21.3408,-10.2286
22.2073,-10.5922
22.0081,-10.2894
23.9544,-10.3724
24.5328,-11.1499
25.3502,-10.9088
26.7946,-10.4227
24.2562,-11.2008
24.8944,-7.7416
20.7242,-7.8503
21.7783,-5.1789
16.2330,-4.0612
16.2201,-4.9032
16.1541,-5.5467
16.6998,-4.9366
17.8289,-2.5615
17.2375,-2.1447
17.0406,-2.1334
15.6163,-3.0602
16.4732,-2.0305
16.2853,-1.1997
20.2592,-2.4039
20.3892,-1.7112
22.3531,-2.6287
23.8440,-3.7656
23.7526,-6.1190
22.7086,-6.2901
27.6565,-7.0991
26.2872,-5.9029
19.5031,-2.3465
17.9351,-1.5234
16.9239,-0.5092
16.5517,0.7302
18.2797,-0.3401
17.5338,-0.8772
17.3420,0.1359
16.3480,2.9550
15.6034,2.1481
14.7658,1.2977
15.0544,1.6365
15.4515,1.4256
13.7880,3.6660
15.0130,5.6778
15.5132,6.4413
12.6010,7.8560
12.4004,6.2744
13.2580,5.6319
10.6364,7.5928
12.2893,8.9993
10.0067,8.1726
8.9279,7.6511
7.2610,7.8335
6.1936,8.4990
4.7738,9.2644
11.1780,9.6548
11.7120,6.7485
13.5990,5.7661
14.0897,7.2245
11.3648,7.8495
12.6094,7.7146
11.9005,7.8865
12.2672,7.6337
11.7320,7.6512
10.8931,9.6662
11.3585,11.5285
10.8286,12.2684
11.5288,8.7228
11.0627,7.4439
10.2378,6.0636
10.5194,6.0027
12.3314,5.5143
9.8403,9.4148
9.2583,8.2968
8.9940,8.3363
9.0000,8.0223
9.0198,8.9644
10.1533,8.4564
8.7802,8.3840
10.3166,6.5948
11.5814,6.3151
13.4749,6.8243
15.0496,6.2928
15.8158,6.7418
16.9750,7.1370
17.7196,8.6208
16.9588,9.5175
12.8817,8.5307
12.7895,8.2074
10.5444,7.5595
15.2956,6.9303
18.5176,2.8740
14.0503,3.5618
14.2580,3.0921
14.4237,1.5944
13.4952,8.5438
12.7038,8.2657
13.4861,5.2134
12.6951,3.7916
11.8480,3.3276
15.0292,3.0069
16.3017,5.2910
16.1702,5.0247
20.2653,3.7207
21.2080,3.8150
21.4770,3.9087
20.7311,2.3957
19.7090,2.0446
21.9408,2.5514
21.0284,3.3182
21.4188,3.5909
21.8208,2.6071
20.8297,2.8854
20.9122,3.1953
20.5884,2.7937
20.9877,3.1118
21.0085,3.5444
21.3517,4.0498
22.3745,4.9958
21.0892,4.4837
21.0646,3.4712
22.2614,4.7549
22.2285,2.9589
22.6945,1.0977
23.5152,-0.6202
24.5212,-0.2787
22.4572,-0.4111
13.9541,6.1919
15.1724,9.3198
14.2140,9.0336
13.9949,10.8363
13.7900,10.4721
13.2437,11.2386
13.0747,12.5264
15.9488,11.3537
14.2774,13.0556
14.7887,12.9209
15.4185,12.3961
14.9747,9.8693
16.4319,10.3837
16.9728,10.9299
17.8031,12.6792
15.7469,9.0919
16.6163,8.1962
18.3837,8.0487
19.2468,6.2769
19.4554,4.3573
19.7384,2.2894
21.1460,2.8031
20.0296,4.9440
22.3325,4.4498
23.5144,5.1017
22.8306,5.7950
23.0528,6.3061
21.9695,8.5053
22.8074,9.2866
22.2576,8.6269
22.4322,8.3897
22.1669,8.0165
22.0823,5.8207
21.7031,5.3676
23.4232,4.2547
23.7302,4.6373
25.1457,1.4500
25.1502,0.9137
24.3725,0.5005
20.4657,2.2926
19.1322,8.0316
19.2986,7.8510
20.5503,6.4229
22.2867,6.4117
22.0486,6.3561
20.3344,5.9732
20.9083,7.4955
20.2163,8.9330
19.6812,6.1039
18.4929,5.0299
19.3631,4.7908
17.9339,5.1653
18.6555,5.5251
19.3673,6.1367
20.9056,7.5548
19.9870,8.5094
22.4676,7.4667
23.5620,8.5310
25.0780,9.7357
24.0715,10.9726
22.6241,12.7582
18.4111,15.6105
22.1250,14.3599
21.3979,15.1527
22.7554,15.5226
31.0497,5.0941
31.6398,4.7665
32.4540,5.1163
33.4476,4.2606
32.2271,3.7120
30.0690,2.1020
26.2559,2.9696
26.0838,0.6624
22.6026,5.6613
20.8340,8.7536
18.1637,11.4717
16.7918,13.4960
18.9757,13.5472
18.3563,14.0099
17.5987,14.8355
17.7664,15.3619
18.1565,13.0213
17.1422,12.9206
18.7134,15.3297
20.6353,16.0829
19.4888,15.3834
19.2151,15.8357
17.9172,16.7772
17.6538,17.0792
17.9920,15.8822
16.3728,16.1771
17.4476,15.8859
15.4206,15.5422
15.0562,13.1590
15.5258,15.8128
16.5127,14.6749
17.0404,13.5126
15.9701,13.8936
17.4039,13.3561
17.0393,10.6657
19.4827,12.2103
20.7793,11.3544
21.2079,11.1878
20.2381,13.9981
22.5346,13.3976
23.1078,14.2453
21.7946,14.5917
18.7732,17.6252
17.8589,17.9925
16.4959,17.2079
16.1100,17.1038
14.7522,17.9312
14.1318,21.0941
14.2029,21.4899
13.3465,21.2778
12.6306,22.4511
11.9624,22.6262
12.7207,19.7538
20.3148,15.3704
20.6744,13.4173
20.6122,13.2476
20.5863,12.6729
20.4508,13.0259
21.5622,11.3786
22.7447,10.9769
24.1281,9.0413
24.1259,8.8881
27.9655,5.4449
27.3097,4.9544
29.2901,3.9562
29.4681,3.7939
31.7383,3.6481
34.6555,1.1710
37.0046,1.9291
37.5073,3.0400
40.9307,1.3560
42.9335,0.3711
42.2208,1.6860
34.5438,2.6026
28.2598,7.1307
28.4118,6.1091
29.1582,4.4433
29.9395,5.5731
29.9191,7.1756
30.1890,6.7706
31.2347,8.8272
30.0752,8.2351
29.8733,7.2932
28.5992,7.1518
28.9792,9.7134
28.6230,8.3108
29.5975,7.7356
28.8868,13.4435
29.3697,12.8362
29.5655,13.5844
29.0472,11.6352
26.9219,12.1914
26.9186,12.8304
24.2358,13.3529
23.0922,14.2319
24.7511,12.9968
22.4886,12.3616
23.0392,12.2628
23.5534,12.2457
24.1542,13.0913
25.6314,12.0304
24.5387,13.6192
27.4454,13.6781
27.4949,15.0726
27.7758,13.8492
28.5031,13.0899
27.7727,11.7075
25.3678,17.8744
24.2337,17.7111
22.2757,18.7690
20.1006,20.1097
19.1081,20.9049
18.5742,21.3367
18.2269,21.9519
17.2379,21.7931
17.1720,22.3973
16.5153,23.5798
19.1257,20.9357
20.0751,18.9025
18.5997,19.2892
16.5252,17.7138
21.8698,18.1905
22.5659,17.5250
24.4904,16.8567
24.6068,15.2888
22.7574,16.7398
21.6392,17.3548
21.1389,15.6657
22.3469,14.9494
23.3644,13.9476
22.7307,16.2633
24.3771,15.5453
22.9832,20.1519
22.5257,20.4942
24.3208,21.9650
24.4810,23.1338
24.8247,23.6914
26.1455,19.6967
26.1516,19.9332
26.3290,16.9472
26.8479,19.7349
27.2800,19.0788
27.8874,14.4278
30.7599,12.8495
30.6294,12.2034
31.6179,14.1108
27.8452,12.7994
27.6109,11.6375
26.5047,15.4641
26.3852,18.6486
26.1731,18.4953
26.8883,19.1667
28.2794,19.7184
26.1738,19.0317
24.8828,19.4051
23.9067,21.0877
24.7274,21.1322
22.6502,21.5416
23.1714,24.4754
20.2288,25.9795
23.5590,25.7616
22.6883,26.5941
22.1251,27.6556
24.0301,27.5661
23.5139,28.0683
23.1628,25.9667
23.5672,23.2683
22.8530,22.6981
22.4481,22.2555
23.4721,21.8496
23.6541,22.9311
23.2539,24.4697
23.3854,24.6493
22.5468,23.2398
23.2529,22.9201
22.3945,19.4919
21.5978,18.0691
18.4295,21.1750
18.1417,20.8689
21.9324,20.6001
22.7206,20.1730
26.3324,16.6567
24.7060,16.5706
25.3363,16.1311
23.3961,18.1856
21.5352,19.1010
24.3287,19.7080
24.5196,20.0070
24.9159,20.2317
22.3499,19.0117
23.0038,19.3292
26.9161,18.6687
27.3079,18.7774
28.2462,16.7776
27.3771,15.8107
28.1362,16.3988
28.1275,16.5730
25.8899,15.9046
26.8177,16.8398
26.5382,17.5256
26.2400,17.6828
26.0455,18.2980
27.1268,14.7443
26.5465,13.6258
26.7965,10.9607
30.2551,12.0061
31.3143,11.5412
29.8395,10.8821
26.7489,15.4950
28.9685,15.1837
28.2860,15.0280
28.9965,15.0082
30.2040,16.1128
28.6272,18.7762
28.7190,18.8488
29.4061,18.3516
28.8965,15.8184
29.6453,15.6708
30.0796,16.4901
31.0049,17.5808
28.1028,18.0589
28.2219,17.2289
31.2830,11.4147
29.5153,13.7637
30.1625,11.1528
29.5748,13.4805
28.9360,13.9990
29.0646,16.1255
27.9537,15.8925
26.5305,14.0704
26.5469,14.6068
24.9796,14.6357
26.8447,18.1411
25.3520,18.1532
24.5718,19.5963
23.6170,21.5279
25.1260,22.4254
25.8288,23.0719
25.7466,21.9151
23.8763,24.2442
24.8605,24.5921
20.4733,24.7990
23.5073,24.4379
25.3630,24.7068
24.2814,24.6299
23.8321,24.8971
23.2823,24.5702
26.2348,21.9005
25.3919,22.1278
27.6532,19.7615
27.7626,19.4918
29.8277,18.0410
31.3814,17.5069
32.8982,17.2110
25.1752,20.7792
26.1451,21.1365
27.1607,20.9227
28.6896,19.7335
28.7054,18.9665
30.3869,18.8515
30.9447,19.4874
31.5505,19.5089
31.5674,19.8221
30.5963,17.4993
30.9908,15.8919
31.0988,18.7773
31.4009,19.6654
29.2913,22.1445
27.8720,22.3492
27.9983,22.6719
27.6658,21.7830
27.8652,21.3270
27.6776,20.4082
27.2036,17.8766
26.2965,19.5630
26.6543,17.9161
26.2130,17.8948
27.0775,18.6001
24.6997,18.6924
28.2118,15.1781
28.9620,16.6525
28.9188,17.6151
30.2307,16.8805
31.1906,15.8192
30.9559,17.4202
31.3761,16.9159
33.8685,17.9704
33.0869,14.5670
32.6806,12.6317
32.1515,13.7097
30.7289,12.9944
28.9321,13.7764
29.2629,12.2063
29.2535,12.5155
30.1727,11.6380
29.9190,14.6915
30.6514,14.0969
29.8466,16.3273
29.5962,16.3330
31.5468,15.6202
33.4501,16.5031
33.0169,17.0731
30.0060,16.3735
30.3873,16.2784
30.5173,17.6300
30.3761,16.5461
30.5932,16.5943
30.3883,16.5114
28.7522,17.2970
27.9970,17.5412
27.0241,20.3753
27.9924,20.6089
28.2189,21.1094
26.1188,21.1680
25.1849,22.0439
25.1428,23.8220
24.6048,24.4793
24.5982,24.8445
24.6552,23.9605
27.6253,23.5547
27.1248,22.7699
26.9041,23.0074
26.7334,22.0650
25.4495,21.4718
25.3379,21.2807
26.2331,20.6002
25.9109,20.1926
25.5024,19.3348
25.6015,20.0571
28.5575,18.3920
28.6403,18.0873
30.0973,15.8502
31.5430,15.8703
32.5640,14.8396
31.9647,16.8316
33.7504,16.8395
30.7679,15.3797
31.2244,15.8522
31.1831,16.2224
31.1380,16.3832
31.2366,15.0678
30.1759,15.8776
31.5052,14.0127
31.6212,13.4128
30.6297,13.6543
30.6894,15.2442
30.1488,16.2078
31.5023,14.8922
32.7217,12.2955
32.3509,11.8271
31.2492,10.1208
30.3279,11.7079
32.8571,11.4931
35.1751,10.4870
37.5152,12.0784
33.3303,15.6605
35.4937,12.4946
35.9171,9.7558
37.2503,9.5181
35.2613,8.6665
35.8422,9.9237
35.7514,11.4997
32.3502,13.6339
31.6681,14.4122
31.5055,15.2030
31.1125,14.6069
31.1001,15.1725
31.3649,16.1645
30.0457,17.0394
27.8079,16.7669
28.7229,16.6986
32.3165,14.3776
31.9374,14.8585
29.0671,17.9672
29.2067,19.3447
28.5655,18.1747
28.9994,18.2307
29.4178,19.7081
29.8776,18.5678
33.3478,19.5306
37.3719,18.5810
38.1475,17.2408
38.5632,18.4826
40.2132,14.0563
39.4823,12.8064
40.7635,11.0510
40.5566,9.9517
40.5987,8.7810
42.6368,9.4743
42.8110,10.0081
41.4991,9.9079
42.3897,9.0881
39.0791,9.8615
39.7456,11.4452
40.8718,12.6488
41.2389,12.0850
41.5708,11.3386
39.0237,11.2465
38.0900,10.2163
38.2582,9.5676
38.2794,8.6959
38.2703,8.8640
38.0317,9.3513
41.5899,8.2747
41.4301,9.4176
41.5392,9.3230
40.4203,11.4426
37.2398,12.3955
37.9190,13.2475
36.2853,12.8732
36.1856,12.5724
33.0986,14.5462
32.2916,14.9104
32.5846,14.7291
32.2179,15.7744
32.2700,16.5700
32.1660,16.8676
34.6001,16.0831
41.1228,11.2738
36.3441,17.0716
34.8568,18.2942
34.0584,16.4547
37.3706,12.8912
38.6641,12.1081
37.6530,12.1294
37.9222,11.3545
37.7369,10.9437
37.8225,10.1902
38.9624,8.4528
39.8182,7.4817
40.2107,8.7891
41.7999,6.8814
42.6441,7.5504
43.3188,8.1234
41.7619,7.4897
41.4290,6.8300
40.6733,10.1996
39.8165,10.9696
36.7805,13.8588
35.3204,12.7052
34.5689,14.1218
33.4852,13.8772
33.3329,14.5127
33.7341,14.8346
32.9311,14.8210
31.1369,16.0464
28.3306,17.0659
26.5991,17.5970
25.4385,17.8109
25.1127,18.6334
29.1209,18.8788
30.0691,20.2953
29.3771,21.4200
30.0554,17.3960
30.7899,18.0542
34.8894,17.1136
36.0953,16.1989
36.4893,16.1713
38.0847,15.5972
38.5307,14.1140
39.8947,12.1277
40.5411,11.0057
43.0545,8.7526
44.1603,8.4812
46.0654,7.2586
44.8848,7.6266
46.1033,6.9508
44.6584,6.3487
43.3109,6.9066
40.6142,5.3235
43.0775,6.4283
43.4374,5.5501
40.8960,10.1808
38.1968,11.0855
34.7215,13.0748
32.1020,12.5053
32.1655,12.5293
31.6999,11.7005
31.8444,12.6050
33.0594,14.2025
33.0347,14.5961
33.2996,16.2139
32.9849,15.9048
34.5095,13.6824
36.0752,13.1070
37.7497,13.2762
38.5289,12.2218
39.0780,10.6469
40.7536,11.3749
41.3697,10.9197
42.5939,13.2827
42.0580,12.3160
42.2422,11.8369
39.3982,12.1329
39.0326,11.5511
39.1847,12.2605
38.1311,11.9668
37.7678,11.8971
37.4916,10.9432
39.2424,10.9864
39.2681,10.4370
38.4359,11.0611
38.8873,10.6336
38.0863,9.0918
38.9393,9.6658
36.2724,12.1387
35.3408,14.2604
40.5624,12.1222
41.5437,11.4037
41.5144,13.1920
40.2127,14.7258
44.7707,10.4850
49.7775,10.1291
50.5805,9.3060
46.1302,9.1761
42.1381,11.3105
38.8837,13.0212
37.1306,11.8656
35.9954,11.9669
36.6850,12.6485
36.3929,13.7394
36.4738,13.7619
37.2122,12.6984
36.2232,14.3918
33.8137,17.3840
33.2201,17.7674
33.2973,17.6710
33.6385,16.4037
31.1996,17.1847
35.4268,16.1884
37.5948,14.3122
35.4174,15.4971
36.5743,16.6198
33.6760,18.2685
34.4010,19.1137
36.5917,18.5765
35.5430,19.5508
35.3390,18.6439
34.6279,16.3445
33.5324,14.5364
39.0196,14.2396
39.6819,13.1377
39.6830,12.7648
39.8379,11.9613
40.0242,11.2953
39.8726,12.8264
39.4888,12.2731
42.6171,12.3690
42.0575,11.5036
44.2957,12.6589
41.9480,13.0993
40.3033,13.3821
41.4095,15.5738
43.0049,15.1056
43.8522,14.7162
42.3064,13.5062
42.8061,13.6447
41.0775,14.7939
40.6968,14.4889
36.9712,13.3657
35.7225,12.6267
37.4159,15.4719
37.4543,16.8788
36.8361,17.7472
37.5273,17.9408
39.3927,14.2796
37.7454,13.8246
37.4050,14.2555
35.4009,16.9150
35.1429,16.8947
36.5502,16.3419
39.3461,14.6968
39.0827,15.7536
38.4583,17.1767
37.0526,17.6180
35.3183,17.0565
41.3680,13.5816
41.1172,14.2852
40.8517,14.3251
40.7285,18.1191
40.6454,18.9761
40.9650,20.1523
40.7958,20.6348
41.2439,22.5314
41.8665,22.7766
43.0153,19.4101
45.3235,16.0036
44.8978,15.9944
44.9527,16.5011
44.3460,15.8128
43.0000,15.3365
44.4600,14.4283
