id,X,Y,NumberOfNeighbors
0,-0.0778,-0.2275,13
1,29.8434,-0.4509,17
2,60.3968,-0.0398,18
3,89.9895,-0.2725,17
4,119.8352,0.3673,13
5,0.0849,30.1525,17
6,30.4454,29.5916,22
7,59.6178,29.6153,23
8,89.6019,29.9303,22
9,119.9021,30.2200,17
10,0.0894,60.2905,18
11,29.7301,60.4751,23
12,60.0348,60.0418,25
13,89.5554,60.1988,23
14,120.3335,60.4373,18
15,-0.3804,90.4302,17
16,29.8166,89.8768,22
17,59.6735,90.4532,23
18,90.3979,90.3779,22
19,119.7770,89.7993,17
20,0.3838,120.1414,12
21,30.1118,119.7316,17
22,59.8043,119.6805,18
23,90.0094,120.4130,17
24,119.6006,120.1094,13
