id,X,Y,NumberOfNeighbors
0,-0.4354,0.4230,13
1,30.2758,-0.0480,17
2,59.9424,0.0005,18
3,90.4363,-0.4884,17
4,119.9109,-0.1206,13
5,-0.0943,29.7560,17
6,30.1199,30.0840,22
7,60.1570,30.0834,23
8,89.7394,30.2688,22
9,120.0063,29.5410,17
10,0.4617,60.0683,18
11,30.2615,60.0533,23
12,60.2416,60.1397,25
13,90.2226,60.3051,23
14,119.8414,60.2064,18
15,0.0722,90.4657,17
16,29.9050,89.6628,22
17,59.8523,89.6737,23
18,90.4770,90.2956,22
19,120.2558,89.8687,17
20,0.2609,120.1180,12
21,29.8502,119.9896,17
22,59.5391,120.4381,18
23,90.3885,119.8215,17
24,120.2003,120.3405,12
