estimatedX,estimatedY
2.4152,46.5223
2.8738,56.9754
0.8407,54.5130
1.8438,52.5449
2.2054,50.4278
2.1757,48.0910
0.8311,47.2217
2.2052,40.9473
1.9548,38.5342
2.4295,35.4659
3.6559,31.2013
4.4671,27.4601
4.6524,24.3007
3.8934,20.0477
4.5555,16.2830
3.9833,13.2547
2.5284,11.0850
1.7434,8.1218
0.9768,2.8056
0.7305,-0.5310
0.4013,-3.5084
0.7952,-6.3046
1.1017,-8.0899
1.9659,-8.8981
0.4291,-11.1342
0.3677,-13.1345
2.2335,-16.5732
6.0692,-21.3136
3.5351,-18.6477
6.0382,-20.9908
7.8077,-23.2712
8.5002,-25.9112
10.4151,-27.9656
12.7921,-27.5819
13.9067,-28.8594
14.9279,-30.7534
15.1086,-30.1985
16.4611,-31.1020
17.9127,-32.0124
16.6522,-29.0151
17.9605,-29.2009
18.2475,-30.3233
19.3532,-29.3047
20.7622,-28.6129
22.1284,-28.4046
22.9058,-27.1564
24.1495,-24.6028
24.1645,-25.3811
25.4983,-24.4267
23.9792,-27.8522
24.1246,-23.2737
25.6600,-19.8467
26.3173,-18.7135
27.3102,-15.5478
27.2757,-14.3902
24.4897,-15.8362
24.6806,-14.9165
24.7172,-14.2495
24.5484,-12.9356
24.2167,-12.4559
24.0211,-12.0069
23.1315,-13.1524
22.5416,-13.3502
20.8385,-12.2220
13.7046,-3.1489
11.9769,-1.7695
8.3536,-0.4129
6.3304,1.0090
4.2608,2.4939
2.6152,4.2118
1.6463,5.3390
0.7386,5.8229
0.0785,7.4012
-0.5953,9.3782
-0.7936,11.1271
-2.4122,9.8657
-0.3002,7.0608
-0.5065,7.1379
-1.4429,7.5535
-2.7295,7.6930
-2.4755,8.3895
-2.8478,8.9751
1.6328,8.4974
0.2707,6.3930
0.6136,5.9612
0.7666,5.6302
0.9015,4.9128
2.3920,5.0608
2.4158,5.0988
2.7436,4.9513
1.0592,4.5813
1.7847,3.3197
1.6259,3.2539
2.1800,1.7586
2.9160,0.8534
3.8518,2.2752
3.5051,2.2596
3.5416,3.4132
2.9912,3.4999
2.4051,3.1491
2.0408,5.9525
1.6369,6.4960
2.3827,6.9538
2.1638,8.4760
1.9060,8.8268
-0.5476,8.4655
-1.2389,8.8171
0.1434,10.0857
0.3458,10.0623
-1.4583,7.9743
-1.3049,8.2658
1.1912,7.1656
1.3535,5.9478
1.4037,5.9422
1.7166,3.5987
2.8760,6.2211
3.0255,6.1415
3.3790,6.4200
2.8338,6.9374
3.1490,6.5603
3.4403,6.5953
2.7066,6.2656
3.6174,7.8040
3.6026,7.2988
3.0181,8.4264
1.6859,9.3777
2.7326,9.2214
3.1540,7.9687
2.7306,8.9206
0.1355,11.2902
3.5037,8.1454
1.0469,10.9464
2.2337,9.2951
3.6569,9.0273
2.1751,10.3002
4.7699,9.4852
4.5091,8.7251
6.1203,7.8150
4.5511,8.9656
4.5893,8.8338
4.8529,9.4597
5.2265,8.9271
4.1912,9.1352
3.0664,8.7923
4.7887,6.3467
4.8619,6.3613
4.9216,7.0037
5.5063,8.4784
5.4591,8.1742
5.4928,7.7258
4.7859,6.6857
3.2692,5.6064
3.5296,2.9367
3.2564,6.7775
2.3757,11.0836
3.8779,8.5981
3.9835,8.5209
2.5033,7.4729
1.9821,7.8005
2.6155,9.1212
2.3896,9.0471
2.1179,8.6727
1.4684,7.9281
6.6256,3.4964
6.6639,2.2337
6.7935,1.8185
4.5482,1.6454
4.7245,3.2682
4.9156,3.4072
5.9760,3.1864
6.2389,2.9307
5.7760,2.2277
4.8942,-0.4823
5.6284,2.6378
5.2160,1.5999
3.6989,8.3167
3.8428,9.2819
4.3115,9.5637
3.5735,8.9843
2.7949,8.8323
1.9067,9.4887
2.5173,11.0975
3.1897,10.7941
2.4271,11.2127
3.0048,9.1952
3.0677,6.1254
5.6136,4.7003
5.8409,4.5175
5.5707,4.5114
6.8067,4.4541
6.5724,4.4148
4.0174,5.1284
3.4101,4.7568
4.5015,4.6652
