id,X,Y,NumberOfNeighbors
0,-0.4885,0.1856,13
1,29.5033,0.4431,17
2,60.4107,-0.2549,18
3,89.8949,-0.0369,17
4,119.9879,0.3625,13
5,0.0029,30.3642,17
6,29.5215,29.7354,22
7,60.2847,30.2460,23
8,90.2274,30.2620,22
9,120.0866,29.9239,17
10,0.4441,60.2772,18
11,30.2527,59.8833,23
12,59.5402,59.9850,25
13,89.7392,60.1195,23
14,119.8554,60.0631,18
15,-0.2563,90.2406,17
16,30.4280,90.1413,22
17,59.9514,89.8965,23
18,89.6709,90.0284,22
19,119.6039,90.0970,17
20,0.4258,119.9537,12
21,29.9224,119.7711,17
22,59.7468,119.7431,18
23,89.5384,119.6490,17
24,119.7809,119.5899,13
