estimatedX,estimatedY
5.2871,18.0905
4.6809,18.2752
4.6075,17.5632
4.7573,17.5395
3.1311,16.4269
3.8438,15.2683
2.9951,15.3146
7.0216,11.6887
6.9564,10.6817
6.9146,8.3482
6.8380,6.9033
5.8960,5.4562
4.4880,3.5101
3.7297,1.5976
3.6818,0.1700
2.8614,-1.4050
1.6974,-3.3869
1.6684,-4.1296
-0.6589,-3.6706
-0.5814,-3.6437
-2.6791,-2.7711
-2.1015,-3.3674
-3.5414,-2.2203
-1.5035,-2.7320
-2.3060,-2.9963
-1.5441,-4.1035
-1.5553,-4.7524
-0.9048,-4.0322
0.0757,-0.6394
0.3915,-0.4900
0.2349,-1.0302
0.0910,0.7615
-0.2696,1.0141
-0.5242,2.3107
-0.9707,1.9332
-1.7782,1.5253
-0.2485,1.2256
-0.2437,0.0634
-0.0960,0.4593
-0.2815,0.7450
0.2972,1.2362
0.9031,1.6170
1.7204,2.3673
0.5285,3.0252
0.3765,3.7402
0.6532,3.9409
1.5655,3.8179
2.4163,3.8312
1.6892,4.2317
1.0868,2.7919
0.0228,2.0679
-0.1835,2.0104
-1.1616,2.5034
-0.2773,0.3923
0.6864,0.2761
0.5246,0.1371
1.1941,-0.0372
0.9820,-0.0711
2.0328,1.6867
2.7730,2.6051
1.8931,1.6372
2.0594,2.1556
2.4003,2.5402
2.0002,2.8325
1.8173,1.8476
1.4342,2.3449
1.4019,2.4407
1.4889,2.6499
1.7949,1.4142
0.5386,1.4710
0.0300,1.6423
-0.1036,1.4913
-0.7500,1.5409
-1.7832,1.1867
-0.0815,0.7089
0.2595,0.9622
1.7505,0.4016
2.2739,1.6464
2.4740,1.8681
3.8082,3.6867
4.2907,4.3770
3.8488,4.6162
3.0315,4.6429
3.2327,5.1434
2.6645,3.3589
2.8074,3.0432
2.1743,2.7953
1.6825,2.7496
1.5369,1.9623
2.1591,2.0031
2.3877,1.6685
2.0680,1.8372
2.7970,4.1781
3.3599,3.1345
2.5648,2.4340
2.7283,2.6098
1.6272,1.1822
1.3394,1.2353
2.2594,1.7352
1.8890,2.7479
2.5731,2.7371
1.4759,2.3430
2.7806,2.4674
4.0842,2.7651
4.4784,2.8053
4.0105,2.9423
3.6947,3.0399
3.0336,3.9043
3.1075,4.1727
3.4816,4.1750
2.0935,4.9819
3.6588,4.5462
3.2777,5.3762
4.7342,5.5887
3.4986,3.7473
2.6217,4.2905
2.6197,4.5673
2.2972,4.6129
2.0671,4.4364
2.2456,4.4690
1.3272,4.0862
1.5019,4.2886
1.4058,4.3028
2.4094,4.1609
1.7544,6.8969
3.4802,6.8664
3.0018,7.1185
2.3352,5.4369
2.7313,4.9942
2.9968,4.4108
3.9292,4.2445
4.1249,4.1831
5.0135,2.7680
5.0075,2.1617
5.9461,4.6437
5.3808,6.0391
5.2552,8.5725
4.4202,8.8282
3.2242,9.2169
2.9471,7.1743
3.2105,6.6999
2.3034,6.2547
2.9621,5.9665
4.1847,5.0640
4.1340,5.9055
3.9051,6.1487
4.5721,5.7266
4.5118,5.8187
4.4583,4.6003
3.7020,4.2066
4.4378,4.8719
3.9567,4.6909
3.2051,4.6916
4.3483,3.9766
3.9529,5.9814
4.5184,6.3431
4.7579,7.2204
6.8490,7.6700
6.3109,6.5978
5.8917,8.8066
5.0061,8.0755
3.5396,10.1440
3.5462,11.4921
3.6294,11.7037
3.0687,12.3771
2.3405,11.6106
1.3203,11.1492
2.8587,11.3608
2.2903,8.5027
2.2596,8.3199
2.7022,8.3473
3.1947,8.3346
2.7312,8.8131
3.2547,8.4487
5.0224,8.0165
4.5892,7.8557
4.8208,8.1566
4.4398,8.3013
3.0218,9.3677
4.2286,7.7862
3.9148,8.5887
3.8187,8.8603
4.2356,8.4606
4.8758,8.2391
5.8686,7.3226
6.2106,7.5029
6.7135,7.1074
6.3743,7.3063
5.1840,6.2725
5.0144,6.2137
5.2898,5.6550
4.5365,5.4227
4.1755,4.2708
4.9088,4.2850
6.8544,3.3228
6.0468,3.6461
5.7257,5.2829
5.8524,5.0518
5.5552,6.3534
5.1226,3.5939
3.9325,2.3270
4.0993,3.2685
5.3068,1.4910
6.5245,9.4490
6.9208,10.6768
6.5617,11.0378
5.9751,10.4872
6.2824,6.8502
5.5115,6.5359
5.0036,8.0021
4.8075,7.8884
4.0609,7.9847
3.7770,7.2073
4.5460,6.4495
4.9840,8.1258
5.8611,7.6086
7.2086,8.2476
8.5922,8.1108
9.5576,8.1501
10.9728,8.0077
10.6917,8.5315
9.8212,7.1294
8.8721,7.7053
8.9758,8.9081
7.5390,8.3883
4.1428,6.5293
7.7082,8.1385
7.6088,7.9048
6.7537,7.1964
7.2049,7.2692
7.6232,8.2584
7.9597,10.2065
8.5699,11.1955
8.2025,10.6028
6.6121,7.7712
7.0034,6.6329
7.2411,7.8691
7.0294,6.9851
7.4589,6.9762
7.6097,6.7026
6.7166,6.7591
5.8112,6.8059
6.6019,6.8190
6.8714,6.3474
7.1278,6.0764
8.3439,6.3767
8.4319,7.1520
7.9466,7.0935
7.7966,7.0926
8.0268,7.8411
7.2624,7.0021
7.4992,6.1897
7.0260,6.1959
5.7776,6.8353
5.0417,5.9768
5.2769,6.7205
4.0621,5.9899
4.0288,6.3729
6.8827,7.8809
6.4884,7.8083
6.2954,8.0794
5.3864,7.4230
6.0266,7.5363
6.6141,8.5654
6.8578,8.8732
7.5834,9.0529
8.8030,9.2555
8.4569,7.0580
9.0774,6.6927
7.6129,6.5922
5.6462,5.6177
5.6437,5.0331
6.5179,4.6032
5.4357,4.8274
4.9098,5.1094
4.7257,3.8655
5.9878,5.5723
6.5033,4.8941
7.8307,3.8657
8.0295,6.7301
7.5550,8.8714
7.3302,10.2084
7.1336,10.6310
6.5703,9.3646
9.0449,9.5642
9.1042,8.3363
9.7384,8.4570
10.7336,8.3108
11.2031,8.0917
10.5100,7.9549
9.1574,7.5136
8.7865,5.3597
8.8333,5.9309
8.6050,5.8778
8.8256,5.7545
8.7561,5.8832
8.7351,5.0118
6.4777,4.6349
5.7762,5.8268
7.8012,7.8999
7.9478,8.7164
8.9627,8.8783
9.3944,8.0368
9.2639,8.8435
8.6591,8.1579
8.6094,6.7399
9.4603,5.9062
10.2769,5.5603
8.7948,6.8346
8.9830,4.3816
7.8266,5.2560
7.7784,5.2799
7.2418,8.2173
6.6807,7.0484
6.3639,6.8567
8.0267,7.9071
6.7562,9.4362
8.9107,7.1180
9.5631,7.0545
11.1634,7.7132
11.6625,6.2582
12.5149,6.9212
11.7838,8.8497
11.9644,9.5720
11.6768,10.8590
11.1358,12.5397
8.8904,7.6365
7.9921,7.8996
9.9034,5.0614
9.8208,5.1447
10.4995,4.4737
9.8833,4.6163
9.6422,4.6576
9.8080,4.4978
7.3459,3.4552
8.1741,2.6965
8.5872,2.5145
9.4207,1.2637
9.4676,0.4299
10.5106,-0.6515
11.1711,-1.4110
13.0915,-1.0054
12.3220,-1.2011
12.2892,-3.2060
12.2500,2.5893
11.6839,3.0585
11.2207,3.6060
11.9303,5.1114
11.1504,6.7848
9.8242,5.6718
9.5597,5.7723
10.1132,5.5550
11.1253,6.8721
12.1562,8.2490
10.9724,6.8480
10.8803,7.3836
11.0805,7.4319
10.5592,6.8935
10.6198,5.6844
11.8511,5.8630
10.8301,5.3912
8.0106,2.6715
8.8458,3.1756
9.7810,3.1256
9.0159,1.1739
8.4407,3.9385
9.7861,4.2036
10.3856,4.2776
10.9271,5.0058
11.6671,5.1562
11.1100,5.6627
11.0539,4.9222
12.4464,5.4450
13.3499,5.6264
12.6274,5.3662
11.9915,4.1429
12.7961,2.1979
12.0439,2.0665
13.0811,1.3304
13.9454,0.5074
13.8748,-0.0148
13.4016,-0.9877
11.2398,-1.5710
11.5961,-2.3818
11.3811,2.2742
8.9857,3.6785
8.0932,3.0429
7.7284,3.0973
8.5524,1.8315
8.9881,3.4282
9.6010,3.7275
9.1678,3.6129
10.9433,4.1206
10.4756,4.1259
10.5279,4.4333
11.1058,5.2731
12.1500,5.1599
12.1332,5.3174
12.3851,4.8294
12.0562,5.0218
12.0199,5.6907
13.1875,5.3935
13.9450,6.6679
14.6337,7.4139
14.1946,7.4038
13.4388,7.1341
11.1665,3.9334
9.5532,-0.7370
9.3103,0.2298
12.1551,2.5050
12.4764,2.6864
12.4199,-0.1388
13.4362,0.1030
13.0754,-0.4166
13.6676,-3.0801
13.8805,-4.0782
14.9193,-4.6458
15.0423,-5.8697
13.0713,2.5855
12.5428,3.3847
12.5015,3.8463
13.5165,2.9880
13.7928,2.6788
13.3525,3.2725
12.5998,4.3065
14.3160,4.5508
14.7794,3.6498
15.2391,3.9671
14.3781,1.3269
14.4113,1.3705
13.8916,1.7143
13.5318,2.3348
12.6612,2.4895
11.3004,0.1058
11.7402,-0.1486
12.6539,-1.7484
11.8305,-0.6714
12.5345,-1.4539
12.9874,-1.8332
12.2436,-0.1074
14.4344,0.1098
14.3577,0.6479
13.2267,0.4312
12.3361,-0.4316
12.6961,-0.0362
13.7467,0.3682
13.5770,-0.0056
13.3425,2.2695
13.6009,3.1229
15.2344,6.7941
16.1756,7.5596
15.5240,5.3188
14.5176,3.8939
14.5496,3.7380
13.7539,2.1404
13.4394,1.5346
13.1090,2.2438
13.8805,1.8286
13.7885,1.5926
11.7861,1.3674
13.8781,1.1103
14.4306,2.2317
13.7726,2.2065
14.4654,3.5396
13.5503,4.1251
13.6430,4.8965
14.9196,4.6002
14.5321,3.5771
14.5568,5.4290
14.6855,6.3557
14.5502,5.5815
15.5835,3.0225
14.6778,1.9716
14.1084,1.5510
13.9038,1.0329
14.0816,0.6088
14.5005,-0.4641
16.1189,-1.9933
15.5871,0.5419
13.7478,2.2929
16.2306,1.5242
16.6826,0.0605
15.9941,1.1411
16.1400,2.7278
14.8350,4.7509
13.8072,4.7029
15.8384,5.7703
14.7599,5.2950
14.1655,6.0941
14.2363,6.0518
13.7951,6.0299
15.5158,3.4045
15.4575,5.9027
16.1171,5.4946
16.5747,6.9731
15.9962,5.6579
16.0241,6.2159
16.4533,7.3449
16.4898,7.7510
17.7548,6.9350
17.7524,7.0266
14.7803,6.1437
15.5212,5.7537
15.6454,4.8044
13.4814,4.9992
13.1654,4.3001
13.3829,4.6850
15.8041,3.9172
15.5581,3.2347
15.4704,2.9895
15.1112,2.4789
14.8397,4.0256
14.4285,4.0788
14.0625,3.2230
16.0996,1.8586
16.3290,1.4726
16.4597,0.8437
16.0167,-0.4800
15.2296,-1.0586
15.0540,-2.3605
15.6055,-3.0418
15.3269,-2.5023
17.9571,2.9034
17.0343,-1.3501
17.6484,-3.2051
16.0724,3.7420
16.6177,3.3936
17.5512,4.2320
17.2381,3.7601
17.9003,3.9362
18.1510,4.9161
17.4345,4.6857
17.2237,4.4904
16.1878,4.6823
15.5665,4.8083
14.8111,5.8273
17.0268,6.0523
17.3645,6.6003
17.3696,6.7674
17.5565,6.7617
17.7825,6.2524
17.5553,6.8297
16.2222,7.0586
17.8386,5.8804
16.5938,3.7719
15.0049,2.1937
15.2640,2.1280
16.0186,0.2869
16.0656,0.6436
16.8473,3.5085
18.2754,4.1922
19.4772,4.7066
20.9220,5.4110
19.2228,4.5194
17.2572,3.8491
16.8576,5.1348
17.2823,3.1424
17.3887,3.5238
17.6296,3.5037
17.2950,3.2213
18.2770,3.8032
17.6508,4.1832
17.3514,3.5187
15.7564,5.0178
17.1824,4.9557
16.4343,4.0721
18.4485,4.1871
18.7043,2.6705
18.4775,2.5693
17.9931,2.3738
17.8770,1.9565
17.8327,1.7110
17.5346,1.3892
17.4674,0.9952
16.9693,-0.1407
15.8885,2.1644
16.0891,1.6256
17.5834,5.0030
17.6731,6.1856
18.6275,6.9273
18.8388,8.3475
18.9452,8.9934
19.5746,8.8544
18.6859,8.2665
17.6533,6.7920
18.5492,9.2182
18.6385,7.9198
18.2975,6.2693
18.7056,3.8725
18.8234,3.7948
18.5939,4.8037
18.0438,4.3159
17.4806,8.3361
17.8669,7.3211
16.7729,7.4491
16.6877,6.1617
17.4823,5.6827
16.7695,4.9183
17.7098,5.0073
16.6022,7.2910
18.1785,7.3455
19.5487,5.9906
19.2618,6.0677
18.3072,5.7638
18.6021,5.5769
16.4379,4.6588
17.0995,7.0097
17.4512,7.7891
17.9612,7.7407
17.9828,8.4283
18.4949,8.3863
19.7556,9.2435
20.6414,9.6419
20.6479,9.7220
20.2797,7.4843
17.2117,6.4032
17.5309,8.3834
17.4226,8.7191
17.5990,8.4008
17.3939,8.1775
18.7002,8.1105
18.8591,7.9328
19.3648,7.3623
18.7442,6.4259
19.6976,6.9684
18.2064,7.6235
17.0278,6.1025
17.6982,8.2326
18.7553,8.1604
18.8065,8.0333
18.2035,8.7453
18.9998,10.5296
19.5622,10.5215
19.9914,10.2593
20.2431,8.8292
19.6446,10.3611
21.1541,9.7874
21.7818,10.1695
20.8224,10.4263
21.1017,7.6176
21.1617,7.2332
20.0428,8.4170
20.1253,7.6972
18.8235,6.8850
20.1004,6.7671
20.1612,7.4769
21.2615,11.0714
21.9336,11.2042
22.0296,12.0591
19.9343,11.7713
18.4389,10.6173
19.3790,10.5949
19.3740,10.0298
19.8021,8.7794
20.6213,10.2095
20.7158,9.3051
21.0533,9.5581
21.5699,9.8354
21.5517,9.8079
21.2909,10.1358
20.2762,10.0929
20.8656,10.8148
21.0009,11.4479
19.7495,11.2932
19.5097,11.6861
19.9997,11.4390
19.7788,10.4036
20.2600,12.1241
21.3579,10.9171
20.7642,10.6172
22.2511,11.0353
20.9023,10.1378
21.5213,10.6057
20.7981,11.1124
20.3979,10.9666
20.4020,11.7461
20.2037,12.1512
20.1130,10.6562
20.8829,9.8606
21.1129,10.2112
20.4244,10.7287
20.3206,9.9897
21.2188,10.0673
19.5856,8.8696
20.4569,11.4746
19.5109,11.8157
19.7451,12.0600
20.5252,10.9733
20.6500,11.5527
21.6222,10.7428
22.2316,11.8734
22.5905,12.2275
21.7757,13.7375
20.9812,15.5378
20.7402,16.7180
20.9817,13.7094
21.4441,14.2262
21.3174,13.0022
21.8940,12.1065
21.7227,11.6292
21.9158,11.5778
22.3762,12.1683
24.0109,12.9781
24.0851,10.9396
23.6348,12.5597
22.8063,12.3283
24.1592,12.7173
21.5893,10.3937
20.6637,10.4878
20.4782,10.8801
22.6325,13.0775
20.5903,11.9809
21.2681,12.7006
20.3711,12.7382
21.0466,12.6916
21.4439,12.7097
21.9521,13.3672
21.7377,13.2479
20.4222,13.3550
21.8054,13.0539
22.2090,13.2666
24.0508,15.5788
23.7972,16.3528
22.7956,15.4185
24.3558,14.9621
23.9317,15.3099
22.9707,15.8406
21.3366,14.9887
20.4441,14.8282
20.3533,14.3009
22.4085,14.3567
23.0122,13.7865
22.6359,13.9678
23.4538,12.8756
22.4851,13.4793
22.7417,15.4648
22.9277,16.8243
22.0595,17.3577
23.0596,18.4126
23.6233,20.4650
21.4077,14.8555
22.9081,15.8831
23.9403,16.9096
23.1855,15.6822
23.5767,16.3700
24.2973,16.8476
24.0219,15.7476
23.5415,15.8644
23.8205,14.7707
23.0593,14.8806
23.5485,14.4581
24.6822,15.8196
23.2427,14.9562
23.6735,15.5390
23.3982,16.9118
23.0941,16.7953
25.2904,17.3050
25.2906,17.6116
25.0053,18.0765
24.3148,17.2695
24.0416,16.8249
24.1247,17.2604
22.4629,17.7497
21.8028,18.1157
22.9735,17.7127
23.4460,15.4291
22.4975,16.2139
22.7781,18.8356
24.0732,16.9673
24.1956,16.2874
23.4806,15.9411
23.9864,15.3669
25.0346,15.3742
24.8936,15.5555
23.6599,14.4566
24.3495,14.2588
24.1123,17.6661
25.4331,17.3572
26.0853,17.3463
25.7530,17.4563
26.6230,17.1407
24.9128,16.6832
24.3232,16.6421
24.3638,15.1338
23.4446,14.8607
24.0057,13.8354
23.4469,13.5533
23.3237,13.0212
22.1784,13.3825
23.9652,14.3930
24.0928,14.6563
24.3817,14.6396
24.2187,17.0693
25.3203,17.1918
25.8238,18.0271
24.0282,18.3459
25.1629,18.0276
25.6420,18.9007
25.7353,19.3864
25.4627,19.2010
27.1458,21.1380
27.5078,18.9550
28.7005,19.1001
26.9620,17.6843
26.7616,17.9648
26.0904,18.0445
26.7948,17.8971
26.1109,18.0941
26.7805,18.9161
26.7592,19.0277
28.0310,18.4582
25.9662,17.9329
26.0506,18.2493
25.2218,16.7899
26.5847,17.3549
25.9086,17.9833
25.9315,18.0734
25.5577,18.4500
26.8903,18.2016
26.1337,19.0892
26.7507,18.4029
28.3609,19.5183
28.7765,19.6190
26.2389,20.4848
26.4597,20.9690
26.4119,21.2601
27.6401,22.7967
29.3260,23.2751
28.8835,20.8744
28.7863,20.6147
29.3567,21.3883
29.2165,21.3835
27.3593,19.1405
26.3935,18.1634
26.3878,17.6840
27.0508,17.1779
25.7385,16.9393
24.7507,16.6456
25.9368,16.5972
25.1302,16.4619
26.0611,18.5943
26.4890,18.3886
26.1692,18.9290
27.2557,18.9980
28.3192,19.1281
27.0808,19.6522
25.8194,19.9651
25.9103,20.0018
26.9961,18.7926
27.4675,18.8578
29.3312,18.9257
29.6046,18.3900
29.2541,19.5653
29.7861,22.0632
28.9787,19.2658
27.3365,18.2751
27.1909,18.2961
27.1310,18.5528
27.6627,18.9950
27.4900,18.4387
28.2252,18.2488
27.4532,19.1702
28.0477,19.1130
29.4143,20.4264
28.3001,20.7217
28.2931,21.1112
28.7270,21.0799
29.4187,21.3058
30.0846,19.6853
29.4793,18.9840
30.0042,18.4747
29.1405,19.7083
29.4783,19.0098
28.5318,19.0881
28.8045,18.2215
28.6196,17.6309
28.3049,17.5489
28.4811,16.5590
28.3745,17.1148
28.4682,16.6490
29.1763,17.7619
29.4794,19.0143
28.1450,19.5022
28.2920,19.8949
28.6158,19.3487
28.7505,19.2979
27.8319,19.2342
27.5501,20.0702
27.3171,19.6823
27.1170,19.6386
27.9547,19.4340
28.3697,19.2947
29.6560,17.9195
27.5520,16.3967
28.2187,15.8195
27.9448,15.5837
28.4945,17.9803
28.9731,18.2984
28.9093,17.0496
30.4565,17.7030
30.1225,17.5159
30.0668,17.6453
29.5792,17.6138
29.3320,17.5487
29.0215,16.5626
28.7704,16.2153
31.1927,17.3162
30.5053,17.4925
29.1269,17.6267
29.2008,17.9197
28.7135,17.8485
28.8748,17.0820
30.1494,17.6385
29.1017,18.2060
28.4480,17.6294
