estimatedX,estimatedY
9.6106,3.5998
6.8802,2.7673
4.0768,0.8027
1.0962,-0.2156
-0.2748,-0.4734
-0.8468,-0.7044
-0.7530,-1.1895
-0.6687,-1.0834
-0.8066,-0.2364
-0.7145,-0.1685
-0.8075,-0.1403
-0.9161,0.0526
-0.8836,0.1594
-0.7726,0.1663
-0.7798,0.2195
-0.6767,0.3148
-0.5319,0.4999
-0.1936,0.5900
-0.0857,0.6768
-0.0059,0.5914
-0.0487,0.4013
-0.0163,0.3655
-0.1526,0.3352
-0.1781,0.2648
-0.1946,0.2430
-0.2486,0.4341
-0.1859,0.5231
-0.1187,0.6133
-0.1702,0.5195
-0.1387,0.5560
-0.1531,0.4309
-0.2645,0.3576
-0.1103,0.6202
-0.0345,0.4799
-0.1354,0.4344
-0.2632,0.4935
-0.0093,0.6439
-0.1341,0.5267
-0.0126,0.7109
0.1798,0.4379
0.1910,0.4273
0.2613,0.0153
0.0326,-0.0409
-0.0879,0.2901
-0.5051,0.2948
-0.7568,0.2812
-0.5400,0.0106
-0.6028,-0.1248
-0.3651,0.9512
0.3594,1.2772
0.5299,1.1855
0.7679,1.1136
0.6220,1.1871
0.7969,1.2446
1.1967,0.5882
1.3380,0.6586
1.0387,0.5601
1.2184,1.4180
1.6486,1.2292
1.4780,1.1056
1.4793,1.1065
1.8532,0.7730
1.7012,0.9623
1.6486,1.1351
1.5037,1.6312
0.8582,2.6680
0.7999,2.4077
0.9468,2.7774
0.8954,2.4809
0.6803,2.6447
0.5872,2.2415
-0.0809,2.5108
0.1723,2.8273
-0.1341,2.5938
0.3651,2.6340
0.6087,2.8943
-0.6042,2.7089
-0.0514,2.4996
-0.1284,1.5969
-1.3516,2.7379
2.9030,1.3292
3.1874,1.6271
3.1516,1.0004
3.4074,0.4459
3.2233,-0.1361
2.9630,2.2699
2.2856,3.1194
1.6214,3.4378
1.3809,3.5957
0.9567,3.4248
0.1348,3.9225
-0.0587,4.3940
1.0919,4.1481
1.2900,4.0087
1.3167,3.9980
1.7816,3.9191
2.3223,3.6265
3.2269,3.1714
3.8086,3.4019
2.6410,3.9335
1.7135,4.6949
1.6836,4.6980
2.5229,4.6730
2.5985,4.3484
1.1055,5.3594
1.9265,4.8553
2.0611,4.6965
2.3208,4.5486
2.5861,4.4665
3.6303,3.9746
3.8037,3.7403
3.9060,4.0928
3.8919,3.5575
4.2476,3.4523
4.4304,3.8753
4.1283,3.7220
3.8381,4.0299
4.2116,3.7764
3.8337,4.1123
3.4151,4.2330
3.1812,4.9865
4.3685,3.4329
5.1181,2.6716
5.4254,2.2470
4.3250,4.1671
4.5398,3.8365
4.4316,4.8559
3.6547,5.4536
2.4731,6.1700
2.9442,5.7536
2.9261,5.5575
4.6458,4.6585
4.8862,4.3886
3.9606,5.1360
3.9162,5.5820
4.6997,5.9653
4.5110,5.3470
4.8405,5.9664
3.8164,6.7923
2.6494,6.4795
2.3513,6.7245
3.5989,6.5450
3.9611,6.8087
2.6973,6.6332
3.7678,5.9963
4.7185,5.2559
6.0973,4.2292
6.5508,2.6973
6.0720,3.8551
6.1538,2.7798
4.1196,6.3402
4.6705,6.1162
4.5346,5.9417
5.9919,5.4477
5.6462,5.2995
5.4770,5.9588
4.9761,5.9606
5.3387,5.3397
5.3410,5.4946
4.9397,5.8700
4.5596,6.3797
4.4279,6.9995
3.4922,7.5488
2.6686,7.9162
2.0701,7.8558
2.8608,7.2560
2.8170,8.0198
2.2310,8.4272
2.2793,7.7941
2.2190,8.1514
2.8011,7.9617
2.9427,7.9046
2.7415,7.9314
3.6008,7.9389
3.9107,8.3791
3.0971,8.2632
2.6133,8.4332
2.7136,8.0887
2.0606,7.3871
4.2585,7.0356
4.2893,7.0225
4.7180,8.4093
5.5422,7.6353
5.8830,7.1144
5.2694,6.7301
6.1955,6.1555
6.2792,6.4338
5.9856,6.3656
6.1557,5.8789
5.8744,6.3046
6.8116,6.7714
7.0094,5.9518
5.7930,8.3185
5.4275,8.8582
4.7099,8.2410
4.6493,8.7081
4.8399,8.5130
4.5536,8.3196
4.1973,8.2874
5.6770,7.6184
6.3247,7.6516
6.4036,7.4759
6.5694,7.3272
6.5945,7.2096
7.3812,6.8287
7.0840,7.5563
5.7037,9.0237
5.4309,8.4271
4.8847,7.9296
6.1187,7.4446
5.4291,7.5498
5.1970,8.0242
5.8620,7.2214
6.3308,7.4697
4.1693,9.3152
5.1926,8.4895
5.0162,8.7988
4.8733,8.0787
5.2192,8.6887
6.0398,8.2736
5.9898,7.4509
6.9005,7.0350
6.5158,7.0040
7.0909,7.0389
6.3728,8.2535
7.6014,6.8615
5.6272,8.1328
5.6263,8.3124
5.5616,8.5108
5.5410,8.5548
5.8142,8.2505
5.4493,7.7132
4.3178,8.6475
4.6574,9.3267
5.6433,8.6072
5.0330,9.0642
5.2984,9.5069
4.5736,9.5404
3.6247,9.0076
2.3559,9.9036
5.6222,8.5822
6.1256,8.4970
6.3367,8.8123
6.2347,7.7750
5.8909,8.8124
7.3115,8.2213
6.4544,7.3918
7.2441,6.7900
7.7983,6.5186
7.8088,6.1987
8.1076,6.6858
6.6775,8.0314
7.2606,8.2055
7.3904,8.7014
5.6783,9.1130
5.3297,9.5311
4.7002,9.2805
4.0412,9.6012
3.1502,10.2485
6.3933,8.0654
7.1517,7.7021
6.0251,8.9207
5.6968,8.7371
6.6809,7.6905
7.3300,7.5072
7.4103,8.0173
6.7256,8.6519
6.2520,8.0920
5.6713,8.6774
7.9779,8.0249
7.9481,6.8810
9.0412,5.9051
9.0540,6.5642
9.0971,5.9718
8.6741,7.5413
8.4083,6.9918
8.1507,6.9512
6.8680,8.0247
6.8620,7.8544
7.1070,7.7781
6.6555,7.8958
6.9882,8.2932
8.5882,7.6034
8.6848,7.8342
8.3986,7.8368
7.8136,7.9141
6.9855,8.0995
7.7078,7.6882
8.4860,6.7368
9.1269,6.5499
8.4889,7.8620
7.8408,7.4721
6.9848,7.8336
8.4241,6.8915
9.1537,7.3844
8.9918,8.6951
8.6584,7.8922
8.2683,8.6548
8.5205,8.3744
9.0094,7.3012
9.7023,6.2056
9.2972,6.1670
8.7778,6.9345
8.6258,7.0161
8.3160,6.7521
9.2597,6.0704
9.8661,6.7239
9.7496,5.5806
9.5691,6.0288
9.3814,5.5103
10.3150,5.1432
10.2592,5.5208
9.6536,6.5412
9.9157,5.1673
9.2140,6.0723
9.0836,6.3654
8.5339,6.3783
9.9245,4.6371
10.2634,4.0359
9.4032,4.1978
9.7886,4.7619
10.3741,4.1409
10.5735,6.7528
9.9457,6.0564
9.8030,6.2139
9.4919,6.6048
9.9275,6.7369
9.5862,6.7053
9.3478,6.9864
9.4957,7.0936
8.2089,6.8559
8.9034,7.1469
8.9221,6.4014
10.6784,5.5781
9.3472,6.7285
9.7239,6.3212
9.5168,5.4603
9.4067,6.4906
10.7367,6.3793
9.1129,6.5507
11.5731,3.9001
11.0683,3.9495
10.5003,3.2814
11.2052,3.1639
11.3813,2.0164
11.0215,2.6728
11.1282,3.0608
10.7546,2.8927
10.5856,4.0149
10.5552,3.8535
10.6917,4.7387
9.9812,4.9399
10.3027,5.1393
9.8410,5.8658
10.3386,5.9333
10.8878,6.0201
10.8421,5.9902
10.8638,5.7036
10.2113,5.2570
9.8102,6.0380
9.8170,5.8442
10.1808,5.2429
10.1709,6.0372
10.7269,4.5117
10.6365,4.3473
11.4976,4.3482
11.4569,2.9618
11.0436,2.2207
11.0582,2.7909
10.9962,2.9231
11.1880,3.5990
10.9637,3.8275
10.6658,5.9479
10.3149,6.7290
11.2168,2.9871
12.3354,3.8381
11.6193,4.7144
11.6777,5.1204
11.7215,3.5738
12.2248,3.5959
12.0685,3.6041
11.7641,3.9722
11.5280,5.5785
11.5411,4.8125
11.3866,5.2978
12.0122,4.3196
12.0056,4.0914
11.6187,4.2925
11.8064,3.1364
11.4902,2.6307
12.9572,1.6172
12.5428,2.2926
11.8321,1.8511
12.5347,1.5446
12.2123,0.9874
13.3796,0.0241
12.7153,0.0911
12.2744,-0.9200
12.0264,-1.8655
11.6758,0.8200
12.2607,1.6584
11.8037,1.3542
11.1708,3.2747
11.4615,5.4997
10.3030,5.9503
11.1546,6.1392
11.8937,4.7858
12.1720,3.3987
13.4346,2.5844
13.1418,2.3842
13.4462,2.6813
12.5380,2.9817
12.2171,3.1708
12.1832,3.4115
11.5613,2.8923
11.5294,4.1984
12.1514,4.3501
12.0451,4.2164
13.1001,4.0876
12.9985,4.0111
12.9912,3.4997
13.1735,4.5217
12.3726,5.9744
11.7133,5.9020
11.8537,2.8998
12.8592,2.2557
13.7487,1.5107
13.5079,1.8071
13.4760,1.4622
13.7218,2.4981
13.5868,1.7817
13.7675,1.3007
13.5359,3.2325
13.8625,3.4226
13.9801,2.3602
13.0897,1.9883
12.9830,0.8278
12.9781,2.8368
13.5057,2.0243
13.7879,1.9519
13.5926,1.4372
14.0283,1.4857
14.1351,1.1248
13.4508,1.5176
14.0054,3.4706
13.7746,3.9470
13.6563,3.5267
14.1112,3.4589
14.3809,4.9770
13.8732,6.3069
14.1037,3.6089
13.5140,4.0378
13.8476,3.0444
14.2566,3.2813
13.7865,3.3396
13.2904,2.6621
14.1479,1.8736
14.9078,1.5998
14.1394,4.1928
14.8680,4.4787
15.0566,4.2891
15.3809,3.7314
14.0514,4.7817
13.9388,4.6866
14.6851,4.9679
14.4725,4.2396
14.4257,4.2608
14.3784,3.6390
14.5383,2.0730
14.5514,1.9152
14.8261,1.7321
14.7330,1.4810
14.4690,-0.5273
15.6971,1.1203
15.5526,1.4967
14.7296,2.9238
14.8536,4.3799
15.3586,4.8400
16.1935,4.5028
16.1470,2.9637
16.0582,1.8017
15.2395,-0.1272
15.6999,-0.4967
16.0848,-0.9429
14.6506,-0.7894
15.1821,-0.3943
14.8427,1.6771
15.1103,1.8611
14.3903,1.3649
14.9089,1.5157
15.4786,1.9755
15.1006,2.6027
15.2406,3.3245
14.2455,3.9453
15.0295,4.6442
15.8771,4.1173
15.3656,2.7547
14.9600,2.7267
15.2674,2.1831
15.1989,1.8753
15.6154,2.2149
16.2503,2.7378
15.5400,3.3727
15.0414,4.4414
15.2450,4.8183
16.1881,2.6683
15.8782,3.2761
14.9046,3.5178
14.2784,4.0549
15.3510,4.7670
15.8589,3.2536
16.4178,2.7794
16.2418,3.2170
16.2239,3.6349
16.6142,2.5015
16.1217,2.9318
16.2232,3.2182
16.6522,2.6661
15.9832,2.1798
15.0667,2.6446
16.0027,2.1560
16.1480,2.4121
16.4958,1.4270
16.7244,2.1579
16.0356,2.2216
16.7463,1.2214
17.3270,0.8652
16.6830,-0.4616
15.6470,-0.6791
15.6066,2.8923
15.4873,3.6770
15.9574,3.6509
16.0300,5.1558
15.7383,5.3566
15.9082,6.2802
15.1908,6.9520
14.6755,7.1804
17.1263,4.7248
16.9271,5.2467
17.0828,5.5705
16.2518,5.7993
16.8906,4.9454
17.6009,4.9795
17.1358,2.4667
17.5916,2.3940
16.7801,2.3514
16.4129,2.3347
16.5978,2.1339
16.4467,2.3489
17.7965,0.2761
17.6975,3.1936
16.4228,3.4090
17.7464,4.6261
17.5185,6.3500
17.1121,5.6465
17.4054,5.6146
17.7672,5.7833
18.7467,4.2461
17.4544,2.8983
17.4200,3.1618
17.5143,2.6381
17.0069,2.3490
17.4760,1.5955
16.9839,2.4447
18.1686,1.5334
18.2887,1.9425
18.2271,2.1009
19.2795,1.5479
19.1313,1.0794
18.9910,2.9080
18.1165,4.0536
17.3400,3.7796
18.8032,4.2271
18.1465,3.6755
17.3350,3.0898
17.5594,4.1438
17.2480,4.4385
16.6635,5.4395
17.7879,5.7478
18.2056,7.2390
17.8674,6.9199
16.9659,7.5528
16.5871,7.3765
17.2319,7.4799
18.0531,7.0204
18.6442,5.6965
17.8025,7.0447
17.6526,7.2917
17.9978,6.4763
18.2218,7.4256
18.2234,7.8379
18.2957,5.6645
19.5185,5.9092
18.9563,6.8736
19.5872,6.9375
19.6686,7.3761
19.7686,7.4964
19.6412,8.0920
