id,X,Y,NumberOfNeighbors
0,-0.1238,-0.4315,13
1,29.9475,-0.2531,17
2,59.5342,0.2907,18
3,89.6651,0.3076,17
4,120.4010,0.1962,13
5,-0.0858,30.4808,17
6,30.2904,30.1017,22
7,60.3642,30.4452,23
8,90.4034,29.8803,22
9,119.6773,29.5544,17
10,-0.0187,59.6137,18
11,30.0876,60.4880,23
12,59.6870,59.8970,25
13,90.4521,60.0148,23
14,120.2350,60.4993,18
15,0.2119,90.3635,17
16,30.1442,89.5275,22
17,60.4167,89.7160,23
18,90.0158,89.5304,22
19,119.6134,90.0574,17
20,-0.4723,120.3839,12
21,29.8642,120.2751,17
22,60.0317,120.3888,18
23,89.8756,119.8341,17
24,120.2694,119.9776,13
