id,X,Y,NumberOfNeighbors
0,-0.2253,0.4211,13
1,29.8704,0.0780,17
2,59.5047,0.4875,18
3,90.0152,-0.4984,17
4,120.4406,0.0265,13
5,-0.3899,29.6949,17
6,29.6842,29.6981,22
7,59.8550,29.8409,23
8,90.0604,30.4813,22
9,119.9071,30.2791,17
10,-0.2824,60.4996,18
11,29.5854,60.4305,23
12,60.4245,59.6684,25
13,90.2605,59.8026,23
14,119.7263,60.4319,18
15,0.3010,89.5134,17
16,30.4998,90.0752,22
17,60.2341,89.5964,23
18,89.6235,90.3691,22
19,119.5269,89.6539,17
20,-0.2564,119.7523,12
21,29.8133,120.4147,17
22,59.8307,120.2962,18
23,89.7754,120.3852,17
24,119.7068,119.6574,13
