id,X,Y,NumberOfNeighbors
0,0.1004,0.4579,13
1,30.4691,0.2862,17
2,59.9664,0.1678,18
3,90.0328,-0.0165,17
4,119.6772,-0.1608,13
5,-0.2381,30.4710,17
6,29.6239,30.4408,22
7,60.1073,30.2619,23
8,90.1092,29.6395,22
9,120.1499,29.8576,17
10,-0.2769,60.4338,18
11,30.3289,60.0486,23
12,60.4409,59.6059,25
13,89.5629,59.6297,23
14,120.1189,60.4706,18
15,0.0132,90.2607,17
16,29.7348,90.4133,22
17,60.2562,90.1020,23
18,89.7619,90.0642,22
19,119.7571,90.1457,17
20,0.4196,119.9953,12
21,29.7396,120.4976,17
22,59.5184,119.7819,18
23,89.8274,119.9358,17
24,119.5793,120.1732,13
