id,X,Y,NumberOfNeighbors
0,0.0712,0.0406,13
1,29.7087,-0.0605,17
2,60.0374,0.3020,18
3,90.4959,0.3915,17
4,119.5311,0.3554,13
5,0.3437,29.9577,17
6,30.2720,30.4313,22
7,60.0521,29.5042,23
8,90.1196,30.2802,22
9,120.1582,30.3693,17
10,-0.4024,59.5228,18
11,29.6448,59.9439,23
12,59.7202,59.5427,25
13,89.5998,60.3233,23
14,120.3690,60.4799,18
15,-0.0886,89.9548,17
16,29.8857,89.7829,22
17,60.3322,90.3979,23
18,89.6808,89.9077,22
19,119.7154,90.4079,17
20,-0.4446,120.0526,12
21,29.6858,120.3012,17
22,59.9924,120.2388,18
23,89.5683,119.9616,17
24,119.8572,119.5737,13
