id,X,Y,NumberOfNeighbors
0,-0.3870,-0.0822,13
1,29.5167,0.1117,17
2,60.3056,-0.1685,18
3,90.0456,-0.0482,17
4,119.6381,0.3185,13
5,0.4568,30.0011,17
6,29.8427,29.8813,22
7,60.4274,29.6612,23
8,90.3997,29.6181,22
9,120.3885,30.2091,17
10,0.0600,59.8535,18
11,30.4413,60.0891,23
12,60.3926,60.4186,25
13,90.4772,60.0992,23
14,119.5049,60.2258,18
15,-0.1462,90.2077,17
16,29.7624,89.6661,22
17,59.8520,89.9182,23
18,89.6578,89.5885,22
19,119.7613,89.7726,17
20,-0.1045,120.4003,12
21,29.7836,120.3024,17
22,60.2856,120.1353,18
23,90.2064,119.9143,17
24,120.1005,119.7941,13
